birdFamily,comName,speciesCode,typicalSeason
Hirundinidae: Martins and Swallows,Northern Rough-winged Swallow,nrwswa,Ordinary Time (early)
Hirundinidae: Martins and Swallows,Purple Martin,purmar,Ordinary Time (early)
Hirundinidae: Martins and Swallows,Tree Swallow,treswa,Ordinary Time (early)
"Icteridae: Blackbirds, Meadowlarks & Orioles",Baltimore Oriole,balori,Easter
"Icteridae: Blackbirds, Meadowlarks & Orioles",Brown-headed Cowbird,bnhcow,Advent
"Icteridae: Blackbirds, Meadowlarks & Orioles",Common Grackle,comgra,Epiphany
"Icteridae: Blackbirds, Meadowlarks & Orioles",Eastern Meadowlark,easmea,Ordinary Time (early)
"Icteridae: Blackbirds, Meadowlarks & Orioles",Orchard Oriole,orcori,Ordinary Time (early)
"Icteridae: Blackbirds, Meadowlarks & Orioles",Red-winged Blackbird,rewbla,Ordinary Time (late)
"Laridae: Gulls, Terns & Skimmers",Ring-billed Gull,ribgul,Lent
"Mimidae: Catbirds, Mockingbirds & Thrashers",Brown Thrasher,brnthr,Ordinary Time (early)
"Mimidae: Catbirds, Mockingbirds & Thrashers",Gray Catbird,grycat,Ordinary Time (early)
"Mimidae: Catbirds, Mockingbirds & Thrashers",Northern Mockingbird,normoc,Ordinary Time (early)
Motacillidae: Pipits,American Pipit,amepip,Advent
Paridae: Chickadees and Titmice,Black-capped Chickadee,bkcchi,Ordinary Time (late)
Paridae: Chickadees and Titmice,Carolina Chickadee,carchi,Ordinary Time (early)
Paridae: Chickadees and Titmice,Tufted Titmouse,tuftit,Ordinary Time (late)
Parulidae: Wood Warblers,American Redstart,amered,Easter
Parulidae: Wood Warblers,Black-and-white Warbler,bawwar,Ordinary Time (early)
Parulidae: Wood Warblers,Black-throated Green Warbler,btnwar,Easter
Parulidae: Wood Warblers,Chestnut-sided Warbler,chswar,Ordinary Time (early)
Parulidae: Wood Warblers,Northern Parula,norpar,Easter
Parulidae: Wood Warblers,Ovenbird,ovenbi1,Easter
Parulidae: Wood Warblers,Pine Warbler,pinwar,Easter
Parulidae: Wood Warblers,Prairie Warbler,prawar,Easter
Parulidae: Wood Warblers,Worm-eating Warbler,woewar1,Easter
Parulidae: Wood Warblers,Yellow-rumped Warbler,yerwar,Ordinary Time (late)
Passerellidae: New World Sparrows and Towhees,Chipping Sparrow,chispa,Ordinary Time (early)
Passerellidae: New World Sparrows and Towhees,Dark-eyed Junco,daejun,Epiphany
Passerellidae: New World Sparrows and Towhees,Dark-eyed Junco,daejun,Lent
Passerellidae: New World Sparrows and Towhees,Eastern Towhee,eastow,Easter
Passerellidae: New World Sparrows and Towhees,Eastern Towhee,eastow,Ordinary Time (early)
Passerellidae: New World Sparrows and Towhees,Field Sparrow,fiespa,Ordinary Time (early)
Passerellidae: New World Sparrows and Towhees,Savannah Sparrow,savspa,Lent
Passerellidae: New World Sparrows and Towhees,Song Sparrow,sonspa,Ordinary Time (early)
Passerellidae: New World Sparrows and Towhees,White-crowned Sparrow,whcspa,Epiphany
Passerellidae: New World Sparrows and Towhees,White-throated Sparrow,whtspa,Epiphany
Passerellidae: New World Sparrows and Towhees,White-throated Sparrow,whtspa,Lent
Passeridae: Old World Sparrows,House Sparrow,houspa,Ordinary Time (early)
Passeridae: Old World Sparrows,House Sparrow,houspa,Ordinary Time (late)
Phasianidae: Grouse and Turkeys,Wild Turkey,wiltur,Ordinary Time (early)
Picidae: Woodpeckers,Downy Woodpecker,dowwoo,Ordinary Time (late)
Picidae: Woodpeckers,Hairy Woodpecker,haiwoo,Ordinary Time (late)
Picidae: Woodpeckers,Northern Flicker,norfli,Ordinary Time (early)
Picidae: Woodpeckers,Pileated Woodpecker,pilwoo,Ordinary Time (late)
Picidae: Woodpeckers,Red-bellied Woodpecker,rebwoo,Ordinary Time (early)
Picidae: Woodpeckers,Red-headed Woodpecker,rehwoo,Ordinary Time (early)
Picidae: Woodpeckers,Yellow-bellied Sapsucker,yebsap,Ordinary Time (late)
Regulidae: Kinglets,Golden-crowned Kinglet,gockin,Lent
Regulidae: Kinglets,Ruby-crowned Kinglet,ruckin,Ordinary Time (late)
Scolopacidae: Sandpipers,Greater Yellowlegs,greyel,Easter
Scolopacidae: Sandpipers,Least Sandpiper,leasan,Easter
Scolopacidae: Sandpipers,Least Sandpiper,leasan,Ordinary Time (early)
